timestamp,open,high,low,close,volume
2025-05-04,270,297,270,297,160
2025-05-05,293.3,326.7,293.3,326.7,80
2025-05-06,326.6,359.3,326.6,359.3,120
2025-05-07,359,395.2,359,395.2,150
2025-05-08,399.7,434.7,399.7,434.7,190
2025-05-11,443.3,478.1,443.3,478.1,220
2025-05-13,477.5,525.9,477.5,525.9,300
2025-05-14,525.8,578.4,525.8,578.4,390
2025-05-15,578.3,636.2,578.3,636.2,460
2025-05-18,647.9,699.8,647.9,699.8,460
2025-05-19,713.7,769.7,713.7,769.7,350
2025-05-20,769.6,846.6,769.6,846.6,420
2025-05-21,831.5,931.2,831.5,931.2,590
2025-05-22,931.1,1024.3,931.1,1024.3,1250
2025-05-25,1044.7,1126.7,1044.7,1126.7,1140
2025-05-26,1149.2,1239.3,1149.2,1239.3,950
2025-05-27,1264,1363.2,1264,1363.2,1180
2025-05-28,1390.4,1499.5,1390.4,1499.5,4169
2025-06-02,1529.4,1649.4,1529.4,1649.4,4370
2025-06-03,1649.4,1814.3,1649.4,1813.43,160034
2025-06-04,1849,1994.7,1750,1994.7,55110
2025-06-05,2034.5,2167.2,1796,1809.24,91850
2025-06-08,1775.1,1790,1628.4,1628.4,67440
2025-06-09,1595.9,1675,1533,1658.57,57950
2025-06-10,1630,1650,1580,1590.58,45590
2025-06-11,1580,1600,1530.2,1537.76,45848
2025-06-12,1512,1532,1493,1497.54,38860
2025-06-15,1527.4,1545,1460,1503.04,35948
2025-06-16,1487,1527,1470,1472.69,25232
2025-06-17,1462.1,1501,1436,1438.7,23609
2025-06-18,1423,1451.4,1399.5,1405.88,26955
2025-06-19,1400,1402,1325,1337.12,40713
2025-06-22,1318,1328,1266,1273.69,31556
2025-06-23,1270,1299,1249,1278.97,18172
2025-06-24,1280.2,1404,1280.2,1381.47,28909
2025-06-25,1409,1480,1383,1442.07,31551
2025-06-26,1440,1445,1341,1354.71,21242
2025-06-29,1354,1354,1314,1330.3,16246
2025-06-30,1349,1404.9,1325,1359.26,17727
2025-07-01,1365,1390,1355.2,1372.7,12998
2025-07-02,1372,1387.8,1346.1,1350.92,17532
2025-07-03,1375,1390,1351,1363.98,20498
2025-07-06,1364,1373,1351,1356.24,13616
2025-07-07,1340,1393.9,1340,1350.97,15380
2025-07-08,1350,1367,1340.2,1356.24,9492
2025-07-09,1357.2,1367,1350.4,1355.33,14632
2025-07-10,1360,1389.9,1356,1379.73,23836
2025-07-13,1400,1434,1380,1388.3,21545
2025-07-14,1409,1409.9,1370.3,1375.69,10017
2025-07-15,1365.2,1458,1365.2,1450.45,31191
2025-07-16,1450,1539,1430,1517.76,48599
2025-07-17,1520,1551,1518,1520.14,21520
2025-07-20,1525.1,1548.8,1490,1492.46,28372
2025-07-21,1500,1509,1458.1,1465.32,25426
2025-07-22,1494,1522.8,1468,1509.26,26600
2025-07-23,1524,1525,1481,1522.08,51956
2025-07-24,1520,1586,1510,1561.37,35424
2025-07-27,1531,1590,1520,1521.39,27178
2025-07-28,1547,1549.9,1500,1505.14,25051
2025-07-29,1520,1560,1509.2,1518.25,16886
2025-07-30,1488.1,1539.1,1470,1474.09,17265
2025-07-31,1470,1477.9,1445.1,1451.59,20598
2025-08-03,1439.9,1510,1416,1420.93,14992
2025-08-04,1400,1430,1390.1,1405.37,18346
2025-08-05,1377.3,1428,1370,1373.19,11218
2025-08-06,1380,1405,1353,1386.56,8596
2025-08-07,1386.1,1420,1386.1,1414.48,8446
2025-08-11,1401.1,1442,1390,1396.51,8162
2025-08-12,1424,1424,1371,1375.61,6248
2025-08-13,1375.1,1394,1370,1371.64,6410
2025-08-14,1365,1389,1354.1,1358.84,7444
2025-08-17,1353,1370,1340,1342.38,10210
2025-08-18,1325,1363.9,1325,1351.36,7027
2025-08-19,1335,1382,1335,1361.37,7418
2025-08-20,1349,1369,1348.3,1349.98,4637
2025-08-21,1340,1358,1340,1342.66,7188
2025-08-24,1315.9,1359,1315.9,1338.54,5580
2025-08-25,1350,1360,1323.2,1336.66,4643
2025-08-26,1310,1357,1310,1342,34447
2025-08-27,1326.5,1385,1326.5,1370.79,7856
2025-08-28,1350.1,1397,1323,1330.31,13313
2025-08-31,1320.1,1340,1300,1300.55,13304
2025-09-01,1300,1319,1296,1309.34,8958
2025-09-02,1291,1315,1285,1285.98,8354
2025-09-03,1280.1,1295,1245.1,1249.74,9971
2025-09-04,1240,1240,1212,1233.22,12159
2025-09-07,1235,1249,1209,1210.34,6919
2025-09-08,1210.4,1230,1187,1190.38,9148
2025-09-18,1166.6,1166.6,1121.2,1121.2,90
2025-09-21,1099,1180,1079,1167.24,16052
2025-09-23,1152,1225,1152,1214.5,9280
2025-09-24,1214,1243,1196,1229.9,8975
2025-09-25,1205.4,1238,1205.4,1212.7,9885
2025-09-28,1212.7,1214,1190.1,1213.8,5814
2025-10-07,1192,1200,1145,1154.9,12327
2025-10-08,1154,1174,1114,1139,7720
2025-10-09,1161.7,1230,1135,1149.9,10768
2025-10-12,1127.3,1149,1098,1101,7517
2025-10-13,1100,1194.9,1095,1179,20366
2025-10-14,1197.8,1215,1158.7,1199,16186
2025-10-15,1180,1236.4,1166.3,1187,6322
2025-10-16,1173,1173,1143,1152,11945
2025-10-19,1150,1215,1146,1199,11494
2025-10-26,1176,1204.5,1172,1180.1,7644
2025-10-28,1181,1219.9,1180,1217.8,10296
2025-10-29,1234,1275.9,1220,1229,24276
2025-10-30,1230,1264.7,1210,1245,9577
2025-11-02,1240,1280,1240,1263,14222
2025-11-03,1280,1288,1245,1246,8900
2025-11-04,1240,1251,1215,1216.1,6224
2025-11-05,1215.1,1215.1,1190.7,1214,7252
2025-11-06,1210,1222,1181,1190.1,8558
2025-11-09,1199,1199,1160,1165,7034
2025-11-10,1152.1,1180.9,1148,1159,8130
2025-11-11,1182,1182,1146,1157,4285
2025-11-12,1170,1170,1126.1,1133,5787
2025-11-13,1124.19,1149.9,1124.19,1146,4995
2025-11-16,1168.9,1168.9,1128.1,1130,3886
2025-11-17,1137,1150,1123,1135.1,3895
2025-11-18,1131.5,1160,1131.5,1140,4396
2025-11-19,1162.8,1183,1136,1180,11941
2025-11-20,1180,1233,1180,1195.9,22132
2025-11-23,1198,1220,1180,1198.7,7858
2025-11-24,1200,1217,1191.1,1192.2,10067
2025-11-25,1187,1192,1170,1180,8729
2025-11-26,1199.9,1199.9,1170,1179,7681
2025-11-27,1160,1264,1160,1247,38132
2025-11-30,1247,1278,1223,1228,25206
2025-12-01,1218,1239.9,1209,1215,10546
2025-12-02,1220,1225,1201,1225,11587
2025-12-03,1200.5,1330,1200.5,1311,72151
2025-12-07,1337.2,1337.2,1270,1271.5,26154
2025-12-08,1260,1281,1246.1,1269,21032
2025-12-09,1243.7,1284.9,1243.7,1260.2,10348
2025-12-10,1256,1280,1250,1255,10754
2025-12-11,1255,1260,1228,1230,14436
2025-12-14,1220,1244,1200,1208,16279
2025-12-15,1200,1275,1200,1257.4,22544
2025-12-16,1261,1290,1257,1269,10815
2025-12-17,1244,1390,1244,1276.9,9729
2025-12-18,1276,1276,1240.1,1243,11655
2025-12-21,1243,1243,1205.6,1219,9665
2025-12-22,1230,1238.5,1200.2,1224,10641
2025-12-23,1201,1244,1201,1242,8198
2025-12-24,1242,1264.9,1225,1239,6130
2025-12-28,1235,1264,1222,1255.1,9898
2025-12-29,1255,1273,1237,1251.9,14045
2025-12-31,1263,1285,1231,1267,23427
2026-01-01,1267,1300,1263,1276,20163
2026-01-04,1265.2,1333.1,1260,1330,40955
2026-01-05,1320.1,1377,1320,1370,82025
2026-01-06,1397.4,1405,1311,1320,42489
2026-01-07,1319,1329.9,1280.4,1280.6,26625
2026-01-08,1280,1302,1272.3,1302,17008
2026-01-12,1305,1395,1294.6,1354.9,34324
2026-01-13,1355,1380,1310,1325,25562
2026-01-14,1325,1328,1285,1298,22333
2026-01-18,1280,1328,1280,1309,15243
2026-01-20,1320,1380,1320,1350.1,46037
2026-01-21,1364,1373.9,1333,1343,20713
2026-01-22,1325,1415,1322,1401.9,45660
2026-01-25,1405,1537.6,1405,1500,77349
2026-01-26,1500,1550.4,1441,1545,87220
2026-01-27,1575.9,1575.9,1426.2,1438,69419
2026-01-28,1410,1480,1410,1470,51705
2026-01-29,1470,1499,1412.1,1415,56012
2026-02-01,1438,1438,1391,1400,25885
2026-02-02,1415,1460,1400,1441,23208
2026-02-03,1440,1465,1400,1409.9,23758
2026-02-04,1405,1438,1404,1419,17525
2026-02-05,1420,1441,1408,1408,24591
2026-02-08,1410.1,1454,1390,1390,20073
2026-02-09,1390,1412,1378.1,1388,21884
2026-02-10,1382.1,1409,1335,1340,19000
2026-02-11,1340,1389,1333,1336,14737
2026-02-12,1335,1350,1322,1333,10850
2026-02-16,1326,1350,1290,1309.9,22309
2026-02-17,1301,1308,1274,1300,16533
2026-02-22,1300,1300,1257,1260,9304
2026-02-23,1255,1279.6,1245.1,1257,6753
2026-02-24,1260,1290.4,1260,1290.4,7770
2026-02-25,1298,1304,1280,1285.2,8910
2026-02-26,1285.2,1298.1,1277,1282.1,4692
2026-03-01,1260,1305,1260,1303,7596
2026-03-03,1302,1344,1302,1340,9708
2026-03-09,1366.8,1394.1,1366.8,1394.1,30
2026-03-10,1421.9,1450,1362,1398,24764
2026-03-11,1371.1,1400,1353,1353,8142
2026-03-12,1350,1377,1340,1359,9212
2026-03-15,1350.1,1377,1320.3,1320.4,9431
2026-03-16,1328,1332,1308,1314.5,7341
2026-03-17,1307,1324,1300,1321,9725
2026-03-19,1321,1346.9,1321,1334,14980
2026-03-22,1334,1380,1334,1352.1,14891
2026-03-23,1331.1,1365,1331.1,1344.9,9310
2026-03-24,1330,1370,1330,1343,8636
2026-03-25,1322,1366.7,1322,1366.6,11222
2026-03-26,1350,1393,1350,1379,25198
2026-03-29,1380,1385,1320,1325.4,12029
2026-03-30,1320,1339.2,1295,1295,9589
2026-03-31,1315,1337.7,1270.1,1285,10220
2026-04-01,1285,1292,1260,1260,6349
2026-04-02,1270,1275,1250,1265,10768
2026-04-05,1252,1252,1180.1,1189.9,14478
