timestamp,open,high,low,close,volume
2025-11-11,285,313.5,285,313.5,270
2025-11-12,313.9,344.8,313.9,344.8,490
2025-11-13,344.5,379.2,344.5,379.2,610
2025-11-16,386.7,417.1,386.7,417.1,820
2025-11-17,420,458.8,420,458.8,1430
2025-11-18,467.6,504.6,467.6,504.6,1540
2025-11-19,514.4,555,514.4,555,2360
2025-11-20,566,610.5,566,610.5,6810
2025-11-23,622.7,671.5,622.7,671.5,22250
2025-11-24,684.9,738.6,684.9,738.6,57040
2025-11-25,753.3,812,750.1,792,346850
2025-11-26,792,795,760,763.1,255880
2025-11-27,763.1,765,750.1,758.1,170479
2025-11-30,758,778.9,750,764.9,130752
2025-12-01,765,806,758,789,187463
2025-12-02,790,796,778.5,780,76732
2025-12-03,780,837,775.1,825,227147
2025-12-07,825,830,780,787,192052
2025-12-08,787,794.5,778.6,782.5,99982
2025-12-09,766.9,803,766.9,790,80114
2025-12-10,800,800,765,770,83345
2025-12-11,770,777,760.3,765.5,72592
2025-12-14,760,780,760,766.9,83639
2025-12-15,761,773.2,761,765,53892
2025-12-16,765,780,765,775,61768
2025-12-17,775,789,771.6,774,61887
2025-12-18,774,778,760,762.1,96768
2025-12-21,750,765,745.1,746.5,88188
2025-12-22,731.6,746,725.5,728.6,84838
2025-12-23,720,744.6,720,733,68164
2025-12-24,720,740,720,733,48568
2025-12-28,735,745.9,735,743.9,64241
2025-12-29,743,763.9,741.1,746.2,88588
2025-12-31,748,788,748,774.2,204920
2026-01-01,789.6,799,770,778.3,148443
2026-01-04,778.3,840,766,817,277313
2026-01-05,820,898.7,820,898.7,242983
2026-01-06,916.6,984,840,850,239193
2026-01-07,840,873,814,820,138243
2026-01-08,825,837,800,833,214428
2026-01-12,833,888.8,827,864,216989
2026-01-13,864,880.9,831,833,189613
2026-01-14,830,847.9,818,830,107926
2026-01-18,829,894,821,892,295254
2026-01-20,909.8,959.9,895,933,286502
2026-01-21,930,945,903.1,905,159689
2026-01-22,905,988,895,980,301445
2026-01-25,982,1078,982,1078,276746
2026-01-26,1099.5,1180,1081,1165,357245
2026-01-27,1165,1233,1110,1115,317966
2026-01-28,1120,1169,1081.2,1135,251510
2026-01-29,1113,1160,1079,1080,211122
2026-02-01,1080,1088.5,1032.3,1037,171319
2026-02-02,1030.1,1140.7,1030.1,1140,255110
2026-02-03,1162,1190,1125,1140,212693
2026-02-04,1140,1162,1107,1126,177439
2026-02-05,1104.8,1148,1070,1107,218898
2026-02-08,1100,1135,1055,1055,138461
2026-02-09,1060,1073,989.9,1019,176729
2026-02-10,1020,1060,1000,1000,100113
2026-02-11,1000,1030,954,968,106925
2026-02-12,968,984.7,930,935,135427
2026-02-16,935,972,935,960,74723
2026-02-17,952,969.9,919.4,920,74333
2026-02-22,938.2,938.2,885,887,77375
2026-02-23,887,902,862.8,875,65484
2026-02-24,860,948,860,948,73914
2026-02-25,966.9,980,936,957,108341
2026-02-26,957,957,935,937.9,59677
2026-03-01,919.2,951,902,940,59901
2026-03-03,940,968.2,931.2,965,75394
2026-03-09,984.3,1050,984.3,1038,6402
2026-03-10,1058,1058,1000,1017,168640
2026-03-11,1037,1037,980.1,984,62790
2026-03-12,964.4,1003,959.9,965,85676
2026-03-15,960,969,926.1,939.8,108492
2026-03-16,930,962,925.3,943,55222
2026-03-17,926,950,926,939,45505
2026-03-19,930,954,930,943,109303
2026-03-22,943,973.9,943,959,121031
2026-03-23,950,970,940,944.9,85731
2026-03-24,944.9,955,937,949,50303
2026-03-25,967,985,940,973,112278
2026-03-26,970,999.9,969,985,95093
2026-03-29,985,985,939,941,81178
2026-03-30,936,953,920,923,73956
2026-03-31,915,935,900.5,922.1,42381
2026-04-01,920,920,875,878,75225
2026-04-02,878,883,861.2,872,60460
2026-04-05,872,872,799,799,107665
