timestamp,open,high,low,close,volume
2025-11-04,317.7,349.4,317.7,349.4,110
2025-11-05,356.3,384.3,356.3,384.3,190
2025-11-06,391.9,422.7,391.9,422.7,330
2025-11-09,431.1,464.9,431.1,464.9,610
2025-11-10,474.1,511.3,474.1,511.3,1180
2025-11-11,515,562.4,515,562.4,5830
2025-11-12,573.6,596.7,511,516.2,125480
2025-11-13,506,567.8,500,567.8,40560
2025-11-16,560,590.5,523.9,543,78776
2025-11-17,546,597.3,536.5,583,62515
2025-11-18,583,641.3,560.1,641.3,40588
2025-11-19,654.1,705.4,628.2,705.4,61386
2025-11-20,691.3,730,665,708.7,70596
2025-11-23,694.6,703.2,664,703.2,61699
2025-11-24,689.2,702.9,662.5,672,79607
2025-11-25,672,673.2,644,673.2,57419
2025-11-26,686.6,686.6,653,675,48447
2025-11-27,661.5,677,653.1,670,44648
2025-11-30,657,672,655,672,45883
2025-12-01,658.6,688,658.6,670,70380
2025-12-02,656.6,737,656.6,737,107010
2025-12-03,722.3,805,722.3,774,97629
2025-12-07,760,766,716.4,720,92934
2025-12-08,705.6,760,705.6,725,33327
2025-12-09,710.5,744,710.5,728,28643
2025-12-10,715,746,695,695.3,46274
2025-12-11,687,707,680,689.9,29864
2025-12-14,680,700,671.2,683,23223
2025-12-15,683,714.9,670.8,709,44099
2025-12-16,710,726,706,707,35862
2025-12-17,700,718,690.1,699,22832
2025-12-18,686,712,686,697.9,29522
2025-12-21,711.7,711.7,676.4,688,17851
2025-12-22,676,715,671.1,698.7,32693
2025-12-23,685,701,680,693.7,23074
2025-12-24,682.1,702,682.1,690,14037
2025-12-28,677,702,677,698.9,31399
2025-12-29,687,700,684.1,695,12200
2025-12-31,686.1,702,685,687.4,32463
2026-01-01,685,722,685,717,93999
2026-01-04,712,750,712,750,66818
2026-01-05,755,780,745,764.5,81778
2026-01-06,764.1,805,725.2,736,68886
2026-01-07,722,745,711,719,27353
2026-01-08,708.1,741,708.1,735,35313
2026-01-12,732,768.2,731.3,759.8,45889
2026-01-13,750,774,730,732.6,34028
2026-01-14,727.2,745,716.3,725,29212
2026-01-18,710.5,755.1,710.5,736,40703
2026-01-20,736,761,735,741,43808
2026-01-21,741,753.8,727,736,30294
2026-01-22,728.1,767,728,756,45011
2026-01-25,770,831.6,758,831.6,92708
2026-01-26,848.2,897,821.3,880,108598
2026-01-27,880,927,850.1,851.1,71930
2026-01-28,850.5,890,833,884.8,83358
2026-01-29,900,900,835,838,79872
2026-02-01,838,838,807,814,37523
2026-02-02,810,865,810,845,38649
2026-02-03,859.1,860,815,819,27151
2026-02-04,820.1,845,785.6,799,30041
2026-02-05,799,814,790,811,32973
2026-02-08,800,825.9,796,806,24015
2026-02-09,791,806,765.1,766.3,19184
2026-02-10,751,819,751,780,32393
2026-02-11,795,809.9,759,759,16135
2026-02-12,762,783.7,750,755,24759
2026-02-16,760,777.2,750.3,777,8998
2026-02-17,777,785,756.1,767,15961
2026-02-22,760,760,722,730,22696
2026-02-23,716,740,716,740,15519
2026-02-24,731.1,765,729,755,14703
2026-02-25,755,767,742.1,756.1,9164
2026-02-26,770,770,737.1,750,7594
2026-03-01,735,750,726.3,740.2,11832
2026-03-03,725.4,770,725.4,770,20005
2026-03-09,785.4,832.3,785.4,816,1842
2026-03-10,820,821,764,798.6,38159
2026-03-11,782.7,800,770.1,780,23572
2026-03-12,764.4,787,764.4,780,21246
2026-03-15,780,780,760,768,14306
2026-03-16,755.1,770,752.7,753.4,6325
2026-03-17,753,755,736,745,19844
2026-03-19,745,764,740,753,25650
2026-03-22,756,763,747,747.1,15905
2026-03-23,740,755.8,737,753,19682
2026-03-24,750,759.9,744.1,749,15583
2026-03-25,749,784,735,769,35225
2026-03-26,760.1,783.7,756.2,773,34594
2026-03-29,757.6,786,751,753,28972
2026-03-30,746,759.8,735,740,19983
2026-03-31,740,749,722,744,16163
2026-04-01,745,745,705.1,712,14447
2026-04-02,698.1,712.9,693,700,23319
2026-04-05,690,708.8,654,654,18594
