timestamp,open,high,low,close,volume
2025-05-27,289.3,318.2,289.3,318.2,120
2025-05-28,321.3,350,321.3,350,140
2025-06-02,357,385,357,385,270
2025-06-03,381.7,423.5,381.7,423.5,270
2025-06-04,431.9,465.8,431.9,465.8,260
2025-06-05,475.1,512.3,475.1,512.3,400
2025-06-08,522.1,563.5,522.1,563.5,580
2025-06-09,574.7,619.8,574.7,619.8,610
2025-06-10,632.1,681.7,632.1,681.7,570
2025-06-11,695.3,749.8,695.3,749.8,640
2025-06-12,739.7,824.7,739.7,824.7,1940
2025-06-15,841.1,907.1,841.1,907.1,10620
2025-06-16,925.2,997.8,925.2,997.8,7330
2025-06-17,1017.7,1097.5,1017.7,1097.5,4770
2025-06-18,1119.4,1207.2,1119.4,1207.2,3740
2025-06-19,1231,1327.9,1086.5,1086.52,229840
2025-06-22,1065,1065,977.9,977.9,49411
2025-06-23,958.4,958.4,880.2,922.4,89531
2025-06-24,910,1000,904,976.24,27237
2025-06-25,995.7,1025,940,991.15,33205
2025-06-26,971.4,976,941,942.94,44968
2025-06-29,925,950,901,912.83,31782
2025-06-30,902,931.1,902,918.58,21392
2025-07-01,912,935.9,912,917.67,13795
2025-07-02,919,941.4,902,936.3,16472
2025-07-03,925.2,930,915.2,924.87,16704
2025-07-06,920,920,897,901.17,33576
2025-07-07,901,914.9,889,892.62,21719
2025-07-08,908.3,909,880.1,891.83,14915
2025-07-09,890,908,881.2,885.24,16257
2025-07-10,890,895,883,888.85,27093
2025-07-13,906.6,906.6,881.4,882.17,15898
2025-07-14,865,893.2,865,868.07,17414
2025-07-15,868,885,864.2,878.33,15007
2025-07-16,860.8,893,860.8,871.71,18148
2025-07-17,870,900,870,890.07,18977
2025-07-20,905,910,885.1,897.89,21995
2025-07-21,900,911.9,885,894.87,19190
2025-07-22,891,952,891,945.88,33801
2025-07-23,950,960,915.2,921.65,32420
2025-07-24,939,939,911.1,914.39,21256
2025-07-27,896.2,923,896.2,901.53,20229
2025-07-28,901,919,890,905.2,16514
2025-07-29,906,944,903.1,931.29,44257
2025-07-30,945,945,915,916.02,18905
2025-07-31,916,920,900.1,901.23,16621
